名前,ウマ娘順,サイゲURL,wikiURL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スペシャルウィーク,1,https://umamusume.jp/character/specialweek,https://ja.wikipedia.org/wiki/スペシャルウィーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サイレンススズカ,2,https://umamusume.jp/character/silencesuzuka,https://ja.wikipedia.org/wiki/サイレンススズカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トウカイテイオー,3,https://umamusume.jp/character/tokaiteio,https://ja.wikipedia.org/wiki/トウカイテイオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マルゼンスキー,4,https://umamusume.jp/character/maruzensky,https://ja.wikipedia.org/wiki/マルゼンスキー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フジキセキ,5,https://umamusume.jp/character/fujikiseki,https://ja.wikipedia.org/wiki/フジキセキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オグリキャップ,6,https://umamusume.jp/character/oguricap,https://ja.wikipedia.org/wiki/オグリキャップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴールドシップ,7,https://umamusume.jp/character/goldship,https://ja.wikipedia.org/wiki/ゴールドシップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウオッカ,8,https://umamusume.jp/character/vodka,https://ja.wikipedia.org/wiki/ウオッカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダイワスカーレット,9,https://umamusume.jp/character/daiwascarlet,https://ja.wikipedia.org/wiki/ダイワスカーレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
タイキシャトル,10,https://umamusume.jp/character/taikishuttle,https://ja.wikipedia.org/wiki/タイキシャトル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グラスワンダー,11,https://umamusume.jp/character/grasswonder,https://ja.wikipedia.org/wiki/グラスワンダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヒシアマゾン,12,https://umamusume.jp/character/hishiamazon,https://ja.wikipedia.org/wiki/ヒシアマゾン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
メジロマックイーン,13,https://umamusume.jp/character/mejiromcqueen,https://ja.wikipedia.org/wiki/メジロマックイーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エルコンドルパサー,14,"https://umamusume.jp/character/elcondorpasa""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,https://umamusume.jp/character/elcondorpasa,https://ja.wikipedia.org/wiki/エルコンドルパサー
テイエムオペラオー,15,"https://umamusume.jp/character/tmoperao""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,https://umamusume.jp/character/tmoperao,https://ja.wikipedia.org/wiki/テイエムオペラオー
ナリタブライアン,16,"https://umamusume.jp/character/naritabrian""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,https://umamusume.jp/character/naritabrian,https://ja.wikipedia.org/wiki/ナリタブライアン
シンボリルドルフ,17,"https://umamusume.jp/character/symbolirudolf""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,https://umamusume.jp/character/symbolirudolf,https://ja.wikipedia.org/wiki/シンボリルドルフ
エアグルーヴ,18,"https://umamusume.jp/character/airgroove""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,https://umamusume.jp/character/airgroove,https://ja.wikipedia.org/wiki/エアグルーヴ
アグネスデジタル,19,"https://umamusume.jp/character/agnesdigital""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,https://umamusume.jp/character/agnesdigital,https://ja.wikipedia.org/wiki/アグネスデジタル
タマモクロス,20,"https://umamusume.jp/character/tamamocross""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,https://umamusume.jp/character/tamamocross,https://ja.wikipedia.org/wiki/タマモクロス
セイウンスカイ,21,"https://umamusume.jp/character/seiunsky""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,https://umamusume.jp/character/seiunsky,https://ja.wikipedia.org/wiki/セイウンスカイ
ファインモーション,22,https://umamusume.jp/character/finemotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,https://umamusume.jp/character/finemotion,https://ja.wikipedia.org/wiki/ファインモーション
ビワハヤヒデ,23,https://umamusume.jp/character/biwahayahide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,https://umamusume.jp/character/biwahayahide,https://ja.wikipedia.org/wiki/ビワハヤヒデ
マヤノトップガン,24,https://umamusume.jp/character/mayanotopgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,https://umamusume.jp/character/mayanotopgun,https://ja.wikipedia.org/wiki/マヤノトップガン
マンハッタンカフェ,25,https://umamusume.jp/character/manhattancafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,https://umamusume.jp/character/manhattancafe,https://ja.wikipedia.org/wiki/マンハッタンカフェ
ミホノブルボン,26,https://umamusume.jp/character/mihonobourbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,https://umamusume.jp/character/mihonobourbon,https://ja.wikipedia.org/wiki/ミホノブルボン
メジロライアン,27,https://umamusume.jp/character/mejiroryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,https://umamusume.jp/character/mejiroryan,https://ja.wikipedia.org/wiki/メジロライアン
ヒシアケボノ,28,https://umamusume.jp/character/hishiakebono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,https://umamusume.jp/character/hishiakebono,https://ja.wikipedia.org/wiki/ヒシアケボノ
ユキノビジン,29,https://umamusume.jp/character/yukinobijin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,https://umamusume.jp/character/yukinobijin,https://ja.wikipedia.org/wiki/ユキノビジン
ライスシャワー,30,https://umamusume.jp/character/riceshower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,https://umamusume.jp/character/riceshower,https://ja.wikipedia.org/wiki/ライスシャワー
アイネスフウジン,31,https://umamusume.jp/character/inesfujin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,https://umamusume.jp/character/inesfujin,https://ja.wikipedia.org/wiki/アイネスフウジン
アグネスタキオン,32,https://umamusume.jp/character/agnestachyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,https://umamusume.jp/character/agnestachyon,https://ja.wikipedia.org/wiki/アグネスタキオン
アドマイヤベガ,33,https://umamusume.jp/character/admirevega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,https://umamusume.jp/character/admirevega,https://ja.wikipedia.org/wiki/アドマイヤベガ
イナリワン,34,https://umamusume.jp/character/inarione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,https://umamusume.jp/character/inarione,https://ja.wikipedia.org/wiki/イナリワン
ウイニングチケット,35,https://umamusume.jp/character/winningticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,https://umamusume.jp/character/winningticket,https://ja.wikipedia.org/wiki/ウイニングチケット
エアシャカール,36,https://umamusume.jp/character/airshakur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,https://umamusume.jp/character/airshakur,https://ja.wikipedia.org/wiki/エアシャカール
エイシンフラッシュ,37,https://umamusume.jp/character/eishinflash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,https://umamusume.jp/character/eishinflash,https://ja.wikipedia.org/wiki/エイシンフラッシュ
カレンチャン,38,https://umamusume.jp/character/currenchan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,https://umamusume.jp/character/currenchan,https://ja.wikipedia.org/wiki/カレンチャン
カワカミプリンセス,39,https://umamusume.jp/character/kawakamiprincess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,https://umamusume.jp/character/kawakamiprincess,https://ja.wikipedia.org/wiki/カワカミプリンセス
ゴールドシチー,40,https://umamusume.jp/character/goldcity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,https://umamusume.jp/character/goldcity,https://ja.wikipedia.org/wiki/ゴールドシチー
サクラバクシンオー,41,https://umamusume.jp/character/sakurabakushino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,https://umamusume.jp/character/sakurabakushino,https://ja.wikipedia.org/wiki/サクラバクシンオー
シーキングザパール,42,https://umamusume.jp/character/seekingthepearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,https://umamusume.jp/character/seekingthepearl,https://ja.wikipedia.org/wiki/シーキングザパール
シンコウウインディ,43,https://umamusume.jp/character/shinkowindy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,https://umamusume.jp/character/shinkowindy,https://ja.wikipedia.org/wiki/シンコウウインディ
スイープトウショウ,44,https://umamusume.jp/character/sweeptosho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,https://umamusume.jp/character/sweeptosho,https://ja.wikipedia.org/wiki/スイープトウショウ
スーパークリーク,45,https://umamusume.jp/character/supercreek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,https://umamusume.jp/character/supercreek,https://ja.wikipedia.org/wiki/スーパークリーク
スマートファルコン,46,https://umamusume.jp/character/smartfalcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,https://umamusume.jp/character/smartfalcon,https://ja.wikipedia.org/wiki/スマートファルコン
ゼンノロブロイ,47,https://umamusume.jp/character/zennorobroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,https://umamusume.jp/character/zennorobroy,https://ja.wikipedia.org/wiki/ゼンノロブロイ
ナカヤマフェスタ,48,https://umamusume.jp/character/nakayamafesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,https://umamusume.jp/character/nakayamafesta,https://ja.wikipedia.org/wiki/ナカヤマフェスタ
トーセンジョーダン,49,https://umamusume.jp/character/tosenjordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,https://umamusume.jp/character/tosenjordan,https://ja.wikipedia.org/wiki/トーセンジョーダン
ナリタタイシン,50,https://umamusume.jp/character/naritataishin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,https://umamusume.jp/character/naritataishin,https://ja.wikipedia.org/wiki/ナリタタイシン
ニシノフラワー,51,https://umamusume.jp/character/nishinoflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,https://umamusume.jp/character/nishinoflower,https://ja.wikipedia.org/wiki/ニシノフラワー
ハルウララ,52,https://umamusume.jp/character/haruurara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,https://umamusume.jp/character/haruurara,https://ja.wikipedia.org/wiki/ハルウララ
バンブーメモリー,53,https://umamusume.jp/character/bamboomemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,https://umamusume.jp/character/bamboomemory,https://ja.wikipedia.org/wiki/バンブーメモリー
ビコーペガサス,54,https://umamusume.jp/character/bikopegasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,https://umamusume.jp/character/bikopegasus,https://ja.wikipedia.org/wiki/ビコーペガサス
マーベラスサンデー,55,https://umamusume.jp/character/marveloussunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,https://umamusume.jp/character/marveloussunday,https://ja.wikipedia.org/wiki/マーベラスサンデー
マチカネフクキタル,56,https://umamusume.jp/character/matikanefukukitaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,https://umamusume.jp/character/matikanefukukitaru,https://ja.wikipedia.org/wiki/マチカネフクキタル
ミスターシービー,57,https://umamusume.jp/character/mrcb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,https://umamusume.jp/character/mrcb,https://ja.wikipedia.org/wiki/ミスターシービー
メイショウドトウ,58,https://umamusume.jp/character/meishodoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,https://umamusume.jp/character/meishodoto,https://ja.wikipedia.org/wiki/メイショウドトウ
メジロドーベル,59,https://umamusume.jp/character/mejirodober,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,https://umamusume.jp/character/mejirodober,https://ja.wikipedia.org/wiki/メジロドーベル
ナイスネイチャ,60,https://umamusume.jp/character/nicenature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,https://umamusume.jp/character/nicenature,https://ja.wikipedia.org/wiki/ナイスネイチャ
キングヘイロー,61,https://umamusume.jp/character/kinghalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,https://umamusume.jp/character/kinghalo,https://ja.wikipedia.org/wiki/キングヘイロー
マチカネタンホイザ,62,https://umamusume.jp/character/matikanetannhauser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,https://umamusume.jp/character/matikanetannhauser,https://ja.wikipedia.org/wiki/マチカネタンホイザ
イクノディクタス,63,https://umamusume.jp/character/ikunodictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,https://umamusume.jp/character/ikunodictus,https://ja.wikipedia.org/wiki/イクノディクタス
メジロパーマー,64,https://umamusume.jp/character/mejiropalmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,https://umamusume.jp/character/mejiropalmer,https://ja.wikipedia.org/wiki/メジロパーマー
ダイタクヘリオス,65,https://umamusume.jp/character/daitakuhelios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,https://umamusume.jp/character/daitakuhelios,https://ja.wikipedia.org/wiki/ダイタクヘリオス
ツインターボ,66,https://umamusume.jp/character/twinturbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,https://umamusume.jp/character/twinturbo,https://ja.wikipedia.org/wiki/ツインターボ
サトノダイヤモンド,67,https://umamusume.jp/character/satonodiamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,https://umamusume.jp/character/satonodiamond,https://ja.wikipedia.org/wiki/サトノダイヤモンド
キタサンブラック,68,https://umamusume.jp/character/kitasanblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,https://umamusume.jp/character/kitasanblack,https://ja.wikipedia.org/wiki/キタサンブラック
メジロアルダン,69,https://umamusume.jp/character/mejiroardan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,https://umamusume.jp/character/mejiroardan,https://ja.wikipedia.org/wiki/メジロアルダン
サクラチヨノオー,70,https://umamusume.jp/character/sakurachiyonoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,https://umamusume.jp/character/sakurachiyonoo,https://ja.wikipedia.org/wiki/サクラチヨノオー
シリウスシンボリ,71,https://umamusume.jp/character/siriussymboli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,https://umamusume.jp/character/siriussymboli,https://ja.wikipedia.org/wiki/シリウスシンボリ
ヤエノムテキ,72,https://umamusume.jp/character/yaenomuteki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,https://umamusume.jp/character/yaenomuteki,https://ja.wikipedia.org/wiki/ヤエノムテキ
メジロブライト,73,https://umamusume.jp/character/mejirobright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,https://umamusume.jp/character/mejirobright,https://ja.wikipedia.org/wiki/メジロブライト
ナリタトップロード,74,https://umamusume.jp/character/naritatoproad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,https://umamusume.jp/character/naritatoproad,https://ja.wikipedia.org/wiki/ナリタトップロード
ヤマニンゼファー,75,https://umamusume.jp/character/yamaninzephyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,https://umamusume.jp/character/yamaninzephyr,https://ja.wikipedia.org/wiki/ヤマニンゼファー
アストンマーチャン,76,https://umamusume.jp/character/astonmachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,https://umamusume.jp/character/astonmachan,https://ja.wikipedia.org/wiki/アストンマーチャン
サトノクラウン,77,https://umamusume.jp/character/satonocrown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,https://umamusume.jp/character/satonocrown,https://ja.wikipedia.org/wiki/サトノクラウン
シュヴァルグラン,78,https://umamusume.jp/character/chevalgrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,https://umamusume.jp/character/chevalgrand,https://ja.wikipedia.org/wiki/シュヴァルグラン
サクラローレル,79,https://umamusume.jp/character/sakuralaurel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,https://umamusume.jp/character/sakuralaurel,https://ja.wikipedia.org/wiki/サクラローレル
ツルマルツヨシ,80,https://umamusume.jp/character/tsurumarutsuyoshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,https://umamusume.jp/character/tsurumarutsuyoshi,https://ja.wikipedia.org/wiki/ツルマルツヨシ
