名前,父,父父,父母,母,母父,母母,ウマ娘順,サイゲURL,wikiURL
スペシャルウィーク,サンデーサイレンス,Halo,Wishing_Well,キャンペンガール,マルゼンスキー,レディーシラオキ,1,https://umamusume.jp/character/specialweek,https://ja.wikipedia.org/wiki/スペシャルウィーク
サイレンススズカ,サンデーサイレンス,Halo,Wishing_Well,ワキア,Miswaki,Rascal_Rascal,2,https://umamusume.jp/character/silencesuzuka,https://ja.wikipedia.org/wiki/サイレンススズカ
トウカイテイオー,シンボリルドルフ,パーソロン,スイートルナ,トウカイナチュラル,ナイスダンサー,トウカイミドリ,3,https://umamusume.jp/character/tokaiteio,https://ja.wikipedia.org/wiki/トウカイテイオー
マルゼンスキー,Nijinsky,Northern_Dancer,Flaming_Page,シル,Buckpasser,Quill,4,https://umamusume.jp/character/maruzensky,https://ja.wikipedia.org/wiki/マルゼンスキー
フジキセキ,サンデーサイレンス,Halo,Wishing_Well,ミルレーサー,Le_Fabuleux,Marston's_Mill,5,https://umamusume.jp/character/fujikiseki,https://ja.wikipedia.org/wiki/フジキセキ
オグリキャップ,ダンシングキャップ,Native_Dancer,Merry_Madcap,ホワイトナルビー,シルバーシャーク,ネヴアーナルビー,6,https://umamusume.jp/character/oguricap,https://ja.wikipedia.org/wiki/オグリキャップ
ゴールドシップ,ステイゴールド,サンデーサイレンス,ゴールデンサッシュ,ポイントフラッグ,メジロマックイーン,パストラリズム,7,https://umamusume.jp/character/goldship,https://ja.wikipedia.org/wiki/ゴールドシップ
ウオッカ,タニノギムレット,ブライアンズタイム,タニノクリスタル,タニノシスター,ルション,エナジートウショウ,8,https://umamusume.jp/character/vodka,https://ja.wikipedia.org/wiki/ウオッカ
ダイワスカーレット,アグネスタキオン,サンデーサイレンス,アグネスフローラ,スカーレットブーケ,ノーザンテースト,スカーレットインク,9,https://umamusume.jp/character/daiwascarlet,https://ja.wikipedia.org/wiki/ダイワスカーレット
タイキシャトル,Devil's_Bag,Halo,Ballade,ウェルシュマフィン,Caerleon,Muffitys,10,https://umamusume.jp/character/taikishuttle,https://ja.wikipedia.org/wiki/タイキシャトル
グラスワンダー,Silver_Hawk,Roberto,Gris_Vitesse,Ameriflora,Danzig,Graceful_Touch,11,https://umamusume.jp/character/grasswonder,https://ja.wikipedia.org/wiki/グラスワンダー
ヒシアマゾン,Theatrical,Nureyev,ツリーオブノレッジ,Katies,ノノアルコ,Mortefontaine,12,https://umamusume.jp/character/hishiamazon,https://ja.wikipedia.org/wiki/ヒシアマゾン
メジロマックイーン,メジロティターン,メジロアサマ,シエリル,メジロオーロラ,リマンド,メジロアイリス,13,https://umamusume.jp/character/mejiromcqueen,https://ja.wikipedia.org/wiki/メジロマックイーン
エルコンドルパサー,Kingmambo,Mr._Prospector,Miesque,サドラーズギャル,Sadler's_Wells,Glenveagh,14,https://umamusume.jp/character/elcondorpasa,https://ja.wikipedia.org/wiki/エルコンドルパサー
テイエムオペラオー,オペラハウス,Sadler's_Wells,Colorspin,ワンスウエド,Blushing_Groom,Noura,15,https://umamusume.jp/character/tmoperao,https://ja.wikipedia.org/wiki/テイエムオペラオー
ナリタブライアン,ブライアンズタイム,Roberto,Kelley's_Day,パシフィカス,Northern_Dancer,Pacific_Princess,16,https://umamusume.jp/character/naritabrian,https://ja.wikipedia.org/wiki/ナリタブライアン
シンボリルドルフ,パーソロン,Milesian,Paleo,スイートルナ,スピードシンボリ,ダンスタイム,17,https://umamusume.jp/character/symbolirudolf,https://ja.wikipedia.org/wiki/シンボリルドルフ
エアグルーヴ,トニービン,カンパラ,Severn_Bridge,ダイナカール,ノーザンテースト,シャダイフェザー,18,https://umamusume.jp/character/airgroove,https://ja.wikipedia.org/wiki/エアグルーヴ
アグネスデジタル,Crafty_Prospector,Mr._Prospector,Real_Crafty_Lady,Chancey_Squaw,Chief's_Crown,Allicance,19,https://umamusume.jp/character/agnesdigital,https://ja.wikipedia.org/wiki/アグネスデジタル
タマモクロス,シービークロス,フォルティノ,ズイシヨウ,グリーンシャトー,シャトーゲイ,クインビー,20,https://umamusume.jp/character/tamamocross,https://ja.wikipedia.org/wiki/タマモクロス
セイウンスカイ,シェリフズスター,ポツセ,Castle_Moon,シスターミル,ミルジョージ,スイトアンジュレ,21,https://umamusume.jp/character/seiunsky,https://ja.wikipedia.org/wiki/セイウンスカイ
ファインモーション,デインヒル,Danzig,Razyana,Cocotte,Troy,Gay_Milly,22,https://umamusume.jp/character/finemotion,https://ja.wikipedia.org/wiki/ファインモーション
ビワハヤヒデ,シャルード,Caro,Angel_Island,パシフィカス,Northern_Dancer,Pacific_Princess,23,https://umamusume.jp/character/biwahayahide,https://ja.wikipedia.org/wiki/ビワハヤヒデ
マヤノトップガン,ブライアンズタイム,Roberto,Kelley's_Day,アルプミープリーズ,Blushing_Groom,Swiss,24,https://umamusume.jp/character/mayanotopgun,https://ja.wikipedia.org/wiki/マヤノトップガン
マンハッタンカフェ,サンデーサイレンス,Halo,Wishing_Well,サトルチェンジ,Law_Society,Santa_Luciana,25,https://umamusume.jp/character/manhattancafe,https://ja.wikipedia.org/wiki/マンハッタンカフェ
ミホノブルボン,マグニテュード,Mill_Reef,Altesse_Royale,カツミエコー,シャレー,ハイフレーム,26,https://umamusume.jp/character/mihonobourbon,https://ja.wikipedia.org/wiki/ミホノブルボン
メジロライアン,アンバーシャダイ,ノーザンテースト,クリアアンバー,メジロチェイサー,メジロサンマン,シエリル,27,https://umamusume.jp/character/mejiroryan,https://ja.wikipedia.org/wiki/メジロライアン
ヒシアケボノ,Woodman,Mr._Prospector,プレイメイト,Mysteries,Seattle_Slew,Phydilla,28,https://umamusume.jp/character/hishiakebono,https://ja.wikipedia.org/wiki/ヒシアケボノ
ユキノビジン,サクラユタカオー,テスコボーイ,アンジェリカ,ファティマ,ロイヤルスキー,ビューティワン,29,https://umamusume.jp/character/yukinobijin,https://ja.wikipedia.org/wiki/ユキノビジン
ライスシャワー,リアルシャダイ,Roberto,Desert_Vixen,ライラックポイント,マルゼンスキー,クリカツラ,30,https://umamusume.jp/character/riceshower,https://ja.wikipedia.org/wiki/ライスシャワー
アイネスフウジン,シーホーク,Herbager,Sea_Nymph,テスコパール,テスコボーイ,ムツミパール,31,https://umamusume.jp/character/inesfujin,https://ja.wikipedia.org/wiki/アイネスフウジン
アグネスタキオン,サンデーサイレンス,Halo,Wishing_Well,アグネスフローラ,ロイヤルスキー,アグネスレディー,32,https://umamusume.jp/character/agnestachyon,https://ja.wikipedia.org/wiki/アグネスタキオン
アドマイヤベガ,サンデーサイレンス,Halo,Wishing_Well,ベガ,トニービン,アンティックヴァリュー,33,https://umamusume.jp/character/admirevega,https://ja.wikipedia.org/wiki/アドマイヤベガ
イナリワン,ミルジョージ,Mill_Reef,Miss_Charisma,テイトヤシマ,ラークスパー,ヤシマジェット,34,https://umamusume.jp/character/inarione,https://ja.wikipedia.org/wiki/イナリワン
ウイニングチケット,トニービン,カンパラ,Severn_Bridge,パワフルレディ,マルゼンスキー,ロッチテスコ,35,https://umamusume.jp/character/winningticket,https://ja.wikipedia.org/wiki/ウイニングチケット
エアシャカール,サンデーサイレンス,Halo,Wishing_Well,アイドリームドアドリーム,Well_Decorated,Hidden_Trail,36,https://umamusume.jp/character/airshakur,https://ja.wikipedia.org/wiki/エアシャカール
エイシンフラッシュ,キングズベスト,Kingmambo,Allegretta,ムーンレディ,プラティニ,Midnight_Fever,37,https://umamusume.jp/character/eishinflash,https://ja.wikipedia.org/wiki/エイシンフラッシュ
カレンチャン,クロフネ,フレンチデピュティ,ブルーアヴェニュー,スプリングチケット,トニービン,カズミハルコマ,38,https://umamusume.jp/character/currenchan,https://ja.wikipedia.org/wiki/カレンチャン
カワカミプリンセス,キングヘイロー,ダンシングブレーヴ,グッバイヘイロー,タカノセクレタリー,Seattle_Slew,Summer_Secretary,39,https://umamusume.jp/character/kawakamiprincess,https://ja.wikipedia.org/wiki/カワカミプリンセス
ゴールドシチー,ヴァイスリーガル,Northern_Dancer,Victoria_Regina,イタリアンシチー,テスコボーイ,リンネス,40,https://umamusume.jp/character/goldcity,https://ja.wikipedia.org/wiki/ゴールドシチー
サクラバクシンオー,サクラユタカオー,テスコボーイ,アンジェリカ,サクラハゴロモ,ノーザンテースト,クリアアンバー,41,https://umamusume.jp/character/sakurabakushino,https://ja.wikipedia.org/wiki/サクラバクシンオー
シーキングザパール,Seeking_the_Gold,Mr._Prospector,Con_Game,ページプルーフ,Seattle_Slew,バーブスボールド,42,https://umamusume.jp/character/seekingthepearl,https://ja.wikipedia.org/wiki/シーキングザパール
シンコウウインディ,デュラブ,Topsider,Passerine,ローズコマンダー,ダストコマンダー,ハマヒリュウ,43,https://umamusume.jp/character/shinkowindy,https://ja.wikipedia.org/wiki/シンコウウインディ
スイープトウショウ,エンドスウィープ,フォーティナイナー,Broom_Dance,タバサトウショウ,ダンシングブレーヴ,サマンサトウショウ,44,https://umamusume.jp/character/sweeptosho,https://ja.wikipedia.org/wiki/スイープトウショウ
スーパークリーク,ノーアテンション,Green_Dancer,No_No_Nanette,ナイスデイ,インターメゾ,サチノヒメ,45,https://umamusume.jp/character/supercreek,https://ja.wikipedia.org/wiki/スーパークリーク
スマートファルコン,ゴールドアリュール,サンデーサイレンス,ニキーヤ,ケイシュウハーブ,ミシシッピアン,キョウエイシラユキ,46,https://umamusume.jp/character/smartfalcon,https://ja.wikipedia.org/wiki/スマートファルコン
ゼンノロブロイ,サンデーサイレンス,Halo,Wishing_Well,ローミンレイチェル,マイニング,One_Smart_Lady,47,https://umamusume.jp/character/zennorobroy,https://ja.wikipedia.org/wiki/ゼンノロブロイ
ナカヤマフェスタ,ステイゴールド,サンデーサイレンス,ゴールデンサッシュ,ディアウィンク,タイトスポット,セイレイ,48,https://umamusume.jp/character/nakayamafesta,https://ja.wikipedia.org/wiki/ナカヤマフェスタ
トーセンジョーダン,ジャングルポケット,トニービン,ダンスチャーマー,エヴリウィスパー,ノーザンテースト,クラフテイワイフ,49,https://umamusume.jp/character/tosenjordan,https://ja.wikipedia.org/wiki/トーセンジョーダン
ナリタタイシン,リヴリア,Riverman,Dahlia,タイシンリリィ,ラディガ,インターラーケン,50,https://umamusume.jp/character/naritataishin,https://ja.wikipedia.org/wiki/ナリタタイシン
ニシノフラワー,Majestic_Light,Majestic_Prince,Irradiate,デユプリシト,Danzig,Fabulous_Fraud,51,https://umamusume.jp/character/nishinoflower,https://ja.wikipedia.org/wiki/ニシノフラワー
ハルウララ,ニッポーテイオー,リィフォー,チヨダマサコ,ヒロイン,ラッキーソブリン,ピアレスレデイ,52,https://umamusume.jp/character/haruurara,https://ja.wikipedia.org/wiki/ハルウララ
バンブーメモリー,モーニングフローリック,Grey_Dawn,Timely_Affair,マドンナバンブー,モバリッズ,ニンバスバンブー,53,https://umamusume.jp/character/bamboomemory,https://ja.wikipedia.org/wiki/バンブーメモリー
ビコーペガサス,Danzig,Northern_Dancer,Pas_de_Nom,Condessa,Condorcet,Varinessa,54,https://umamusume.jp/character/bikopegasus,https://ja.wikipedia.org/wiki/ビコーペガサス
マーベラスサンデー,サンデーサイレンス,Halo,Wishing_Well,モミジダンサー,ヴァイスリーガル,モミジII,55,https://umamusume.jp/character/marveloussunday,https://ja.wikipedia.org/wiki/マーベラスサンデー
マチカネフクキタル,クリスタルグリッターズ,Blushing_Groom,Tales_to_Tell,アテナトウショウ,トウショウボーイ,グレイトウショウ,56,https://umamusume.jp/character/matikanefukukitaru,https://ja.wikipedia.org/wiki/マチカネフクキタル
ミスターシービー,トウショウボーイ,テスコボーイ,ソシアルバターフライ,シービークイン,トピオ,メイドウ,57,https://umamusume.jp/character/mrcb,https://ja.wikipedia.org/wiki/ミスターシービー
メイショウドトウ,Bigstone,ラストタイクーン,Batave,プリンセスリーマ,Affirmed,First_Fling,58,https://umamusume.jp/character/meishodoto,https://ja.wikipedia.org/wiki/メイショウドトウ
メジロドーベル,メジロライアン,アンバーシャダイ,メジロチェイサー,メジロビューティー,パーソロン,メジロナガサキ,59,https://umamusume.jp/character/mejirodober,https://ja.wikipedia.org/wiki/メジロドーベル
ナイスネイチャ,ナイスダンサー,Northern_Dancer,Nice_Princess,ウラカワミユキ,ハビトニー,ケンマルミドリ,60,https://umamusume.jp/character/nicenature,https://ja.wikipedia.org/wiki/ナイスネイチャ
キングヘイロー,ダンシングブレーヴ,Lyphard,Navajo_Princess,グッバイヘイロー,Halo,Pound_Foolish,61,https://umamusume.jp/character/kinghalo,https://ja.wikipedia.org/wiki/キングヘイロー
マチカネタンホイザ,ノーザンテースト,Northern_Dancer,Lady_Victoria,クリプシー,アローエクスプレス,モンタロッチ,62,https://umamusume.jp/character/matikanetannhauser,https://ja.wikipedia.org/wiki/マチカネタンホイザ
イクノディクタス,ディクタス,Sanctus,Doronic,ダイナランディング,ノーザンテースト,ナイスランディング,63,https://umamusume.jp/character/ikunodictus,https://ja.wikipedia.org/wiki/イクノディクタス
メジロパーマー,メジロイーグル,メジロサンマン,アマゾンウォリアー,メジロファンタジー,ゲイメセン,プリンセスリファード,64,https://umamusume.jp/character/mejiropalmer,https://ja.wikipedia.org/wiki/メジロパーマー
ダイタクヘリオス,ビゼンニシキ,ダンディルート,ベニバナビゼン,ネヴアーイチバン,ネヴァービート,ミスナンバイチバン,65,https://umamusume.jp/character/daitakuhelios,https://ja.wikipedia.org/wiki/ダイタクヘリオス
ツインターボ,ライラリッジ,Lyphard,Riverside,レーシングジイーン,サンシー,マウタジョウオー,66,https://umamusume.jp/character/twinturbo,https://ja.wikipedia.org/wiki/ツインターボ
サトノダイヤモンド,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,マルペンサ,Orpen,Marsella,67,https://umamusume.jp/character/satonodiamond,https://ja.wikipedia.org/wiki/サトノダイヤモンド
キタサンブラック,ブラックタイド,サンデーサイレンス,ウインドインハーヘア,シュガーハート,サクラバクシンオー,オトメゴコロ,68,https://umamusume.jp/character/kitasanblack,https://ja.wikipedia.org/wiki/キタサンブラック
メジロアルダン,アスワン,ノーザンテースト,リリーオブザナイル,メジロヒリュウ,ネヴァービート,アマゾンウォリアー,69,https://umamusume.jp/character/mejiroardan,https://ja.wikipedia.org/wiki/メジロアルダン
サクラチヨノオー,マルゼンスキー,Nijinsky,シル,サクラセダン,セダン,スワンズウッドグローヴ,70,https://umamusume.jp/character/sakurachiyonoo,https://ja.wikipedia.org/wiki/サクラチヨノオー
シリウスシンボリ,モガミ,Lyphard,ノーラック,スイートエプソム,パーソロン,シレトコ,71,https://umamusume.jp/character/siriussymboli,https://ja.wikipedia.org/wiki/シリウスシンボリ
ヤエノムテキ,ヤマニンスキー,Nijinsky,アンメンシヨナブル,ツルミスター,イエローゴッド,フジコウ,72,https://umamusume.jp/character/yaenomuteki,https://ja.wikipedia.org/wiki/ヤエノムテキ
メジロブライト,メジロライアン,アンバーシャダイ,メジロチェイサー,レールデュタン,マルゼンスキー,ケイツナミ,73,https://umamusume.jp/character/mejirobright,https://ja.wikipedia.org/wiki/メジロブライト
ナリタトップロード,サッカーボーイ,ディクタス,ダイナサッシュ,フローラルマジック,Affirmed,Rare_Lady,74,https://umamusume.jp/character/naritatoproad,https://ja.wikipedia.org/wiki/ナリタトップロード
ヤマニンゼファー,ニホンピロウイナー,スティールハート,ニホンピロエバート,ヤマニンポリシー,Blushing_Groom,ヤマホウユウ,75,https://umamusume.jp/character/yamaninzephyr,https://ja.wikipedia.org/wiki/ヤマニンゼファー
アストンマーチャン,アドマイヤコジーン,Cozzene,アドマイヤマカディ,ラスリングカプス,Woodman,フィールディ,76,https://umamusume.jp/character/astonmachan,https://ja.wikipedia.org/wiki/アストンマーチャン
サトノクラウン,Marju,ラストタイクーン,Flame_of_Tara,ジョコンダII,Rossini,La_Joconde,77,https://umamusume.jp/character/satonocrown,https://ja.wikipedia.org/wiki/サトノクラウン
シュヴァルグラン,ハーツクライ,サンデーサイレンス,アイリッシュダンス,ハルーワスウィート,Machiavellian,ハルーワソング,78,https://umamusume.jp/character/chevalgrand,https://ja.wikipedia.org/wiki/シュヴァルグラン
サクラローレル,Rainbow_Quest,Blushing_Groom,I_Will_Follow,ローラローラ,Saint_Cyrien,Bold_Lady,79,https://umamusume.jp/character/sakuralaurel,https://ja.wikipedia.org/wiki/サクラローレル
ツルマルツヨシ,シンボリルドルフ,パーソロン,スイートルナ,スィートシエロ,Conquistador_Cielo,Change_Water,80,https://umamusume.jp/character/tsurumarutsuyoshi,https://ja.wikipedia.org/wiki/ツルマルツヨシ
コパノリッキー,ゴールドアリュール,サンデーサイレンス,ニキーヤ,コパノニキータ,ティンバーカントリー,ニホンピロローズ,81,https://umamusume.jp/character/copanorickey,https://ja.wikipedia.org/wiki/コパノリッキー
シンボリクリスエス,Kris_S.,Roberto,Sharp_Queen,Tee_Kay,Gold_Meridian,Tri_Argo,82,https://umamusume.jp/character/symbolikriss,https://ja.wikipedia.org/wiki/シンボリクリスエス
タニノギムレット,ブライアンズタイム,Roberto,Kelley's_Day,タニノクリスタル,クリスタルパレス,タニノシーバード,83,https://umamusume.jp/character/taninogimlet,https://ja.wikipedia.org/wiki/タニノギムレット
デアリングタクト,エピファネイア,シンボリクリスエス,シーザリオ,デアリングバード,キングカメハメハ,デアリングハート,84,https://umamusume.jp/character/daringtact,https://ja.wikipedia.org/wiki/デアリングタクト
ホッコータルマエ,キングカメハメハ,Kingmambo,マンファス,マダムチェロキー,Cherokee_Run,アンフォイルド,85,https://umamusume.jp/character/hokkotarumae,https://ja.wikipedia.org/wiki/ホッコータルマエ
ワンダーアキュート,カリズマティック,Summer_Squall,Bali_Babe,ワンダーヘリテージ,Pleasant_Tap,Casa_Petrone,86,https://umamusume.jp/character/wonderacute,https://ja.wikipedia.org/wiki/ワンダーアキュート
ダイイチルビー,トウショウボーイ,テスコボーイ,ソシアルバターフライ,ハギノトップレディ,サンシー,イツトー,87,https://umamusume.jp/character/daiichiruby,https://ja.wikipedia.org/wiki/ダイイチルビー
ケイエスミラクル,Stutz_Blackhawk,Mr._Prospector,Sunny_Morning,レディベンドフエイジヤー,Never_Bend,Princess_Fager,88,https://umamusume.jp/character/ksmiracle,https://ja.wikipedia.org/wiki/ケイエスミラクル
メジロラモーヌ,モガミ,Lyphard,ノーラック,メジロヒリュウ,ネヴァービート,アマゾンウォリアー,89,https://umamusume.jp/character/mejiroramonu,https://ja.wikipedia.org/wiki/メジロラモーヌ
ジャングルポケット,トニービン,カンパラ,Severn_Bridge,ダンスチャーマー,Nureyev,Skillful_Joy,90,https://umamusume.jp/character/junglepocket,https://ja.wikipedia.org/wiki/ジャングルポケット
カツラギエース,ボイズィーボーイ,King's_Troop,Rising_Hope,タニノベンチヤ,ヴェンチア,アベイブリッジ,91,https://umamusume.jp/character/katsuragiace,https://ja.wikipedia.org/wiki/カツラギエース
ネオユニヴァース,サンデーサイレンス,Halo,Wishing_Well,ポインテッドパス,Kris,Silken_Way,92,https://umamusume.jp/character/neouniverse,https://ja.wikipedia.org/wiki/ネオユニヴァース
ヒシミラクル,サッカーボーイ,ディクタス,ダイナサッシュ,シュンサクヨシコ,シェイディハイツ,シュンサクレディ,93,https://umamusume.jp/character/hishimiracle,https://ja.wikipedia.org/wiki/ヒシミラクル
タップダンスシチー,Pleasant_Tap,Pleasant_Colony,Never_Knock,All_Dance,Northern_Dancer,All_Rainbows,94,https://umamusume.jp/character/tapdancecity,https://ja.wikipedia.org/wiki/タップダンスシチー
サウンズオブアース,ネオユニヴァース,サンデーサイレンス,ポインテッドパス,ファーストバイオリン,Dixieland_Band,Sunrise_Symphony,95,https://umamusume.jp/character/soundsofearth,https://ja.wikipedia.org/wiki/サウンズオブアース
ノースフライト,トニービン,カンパラ,Severn_Bridge,シヤダイフライト,ヒッティングアウェー,フォーワードフライト,96,https://umamusume.jp/character/northflight,https://ja.wikipedia.org/wiki/ノースフライト
ドゥラメンテ,キングカメハメハ,Kingmambo,マンファス,アドマイヤグルーヴ,サンデーサイレンス,エアグルーヴ,97,https://umamusume.jp/character/duramente,https://ja.wikipedia.org/wiki/ドゥラメンテ
ヴィルシーナ,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,ハルーワスウィート,Machiavellian,ハルーワソング,98,https://umamusume.jp/character/verxina,https://ja.wikipedia.org/wiki/ヴィルシーナ
ヴィブロス,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,ハルーワスウィート,Machiavellian,ハルーワソング,99,https://umamusume.jp/character/vivlos,https://ja.wikipedia.org/wiki/ヴィブロス
サムソンビッグ,サクラショウリ,パーソロン,シリネラ,シユンイチオーカン,フロリバンダ,フジカワ,100,https://umamusume.jp/character/samsonbig,https://ja.wikipedia.org/wiki/サムソンビッグ
ロイスアンドロイス,トニービン,カンパラ,Severn_Bridge,ザツツマイパル,Key_to_the_Mint,Beautiful_Memory,101,https://umamusume.jp/character/royceandroyce,https://ja.wikipedia.org/wiki/ロイスアンドロイス
シーザリオ,スペシャルウィーク,サンデーサイレンス,キャンペンガール,キロフプリミエール,Sadler's_Wells,Querida,102,https://umamusume.jp/character/cesario,https://ja.wikipedia.org/wiki/シーザリオ
ラインクラフト,エンドスウィープ,フォーティナイナー,Broom_Dance,マストビーラヴド,サンデーサイレンス,ダイナシュート,103,https://umamusume.jp/character/rheinkraft,https://ja.wikipedia.org/wiki/ラインクラフト
エアメサイア,サンデーサイレンス,Halo,Wishing_Well,エアデジャヴー,ノーザンテースト,アイドリームドアドリーム,104,https://umamusume.jp/character/airmessiah,https://ja.wikipedia.org/wiki/エアメサイア
デアリングハート,サンデーサイレンス,Halo,Wishing_Well,デアリングダンジグ,Danzig,Impetuous_Gal,105,https://umamusume.jp/character/daringheart,https://ja.wikipedia.org/wiki/デアリングハート
フリオーソ,ブライアンズタイム,Roberto,Kelley's_Day,ファーザ,Mr._Prospector,Baya,106,https://umamusume.jp/character/furioso,https://ja.wikipedia.org/wiki/フリオーソ
トランセンド,ワイルドラッシュ,Wild_Again,Rose_Park,シネマスコープ,トニービン,ブルーハワイ,107,https://umamusume.jp/character/transcend,https://ja.wikipedia.org/wiki/トランセンド
エスポワールシチー,ゴールドアリュール,サンデーサイレンス,ニキーヤ,エミネントシチー,ブライアンズタイム,ヘップバーンシチー,108,https://umamusume.jp/character/espoircity,https://ja.wikipedia.org/wiki/エスポワールシチー
ダンツフレーム,ブライアンズタイム,Roberto,Kelley's_Day,インターピレネー,サンキリコ,モンテマリア,109,https://umamusume.jp/character/dantsuflame,https://ja.wikipedia.org/wiki/ダンツフレーム
ノーリーズン,ブライアンズタイム,Roberto,Kelley's_Day,アンブロジン,Mr._Prospector,バラダ,110,https://umamusume.jp/character/noreason,https://ja.wikipedia.org/wiki/ノーリーズン
スティルインラブ,サンデーサイレンス,Halo,Wishing_Well,ブラダマンテ,Roberto,Sulemeif,111,https://umamusume.jp/character/stillinlove,https://ja.wikipedia.org/wiki/スティルインラブ
オルフェーヴル,ステイゴールド,サンデーサイレンス,ゴールデンサッシュ,オリエンタルアート,メジロマックイーン,エレクトロアート,112,https://umamusume.jp/character/orfevre,https://ja.wikipedia.org/wiki/オルフェーヴル
ジェンティルドンナ,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,ドナブリーニ,Bertolini,Cal_Norma's_Lady,113,https://umamusume.jp/character/gentildonna,https://ja.wikipedia.org/wiki/ジェンティルドンナ
ウインバリアシオン,ハーツクライ,サンデーサイレンス,アイリッシュダンス,スーパーバレリーナ,Storm_Bird,カウントオンアチェンジ,114,https://umamusume.jp/character/winvariation,https://ja.wikipedia.org/wiki/ウインバリアシオン
ドリームジャーニー,ステイゴールド,サンデーサイレンス,ゴールデンサッシュ,オリエンタルアート,メジロマックイーン,エレクトロアート,115,https://umamusume.jp/character/dreamjourney,https://ja.wikipedia.org/wiki/ドリームジャーニー
ブエナビスタ,スペシャルウィーク,サンデーサイレンス,キャンペンガール,ビワハイジ,Caerleon,アグサン,116,https://umamusume.jp/character/buenavista,https://ja.wikipedia.org/wiki/ブエナビスタ
